Index,Question,Proposed Solution,Answer
0,"QUESTION TYPE-Newton’s Law of Cooling: A body at an unknown temperature is placed in a room which is held at a constant temperature of 30°F. If after 10 minutes the temperature of the body is 0°F and after 20 minutes the temperature of the body is 15°F, find the unknown initial temperature.","Let T denote the temperature of the body. Then Newton's law of cooling can be formulated as dT/dt = -k(T - Tm) => dT/dt + kT = kTm. Let Tm = 30, dT/dt + kT = 30k. Solving, we obtain T = ce^(-kt) + 30. At t = 10, we are given that T = 0. Hence, 0 = ce^(-10k) + 30 => ce^(-10k) = -30. At t = 20, we are given that T = 15. Hence, 15 = ce^(-20k) + 30 => ce^(-20k) = -15. Solving for k and c, we find k = (1/10)ln 2 = 0.069 and c = -30e^(10k) = -30(2) = -60. Substituting these values, we have T = -60e^(-0.069t) + 30. Since we require T at t = 0, it follows that T0 = -60e^0 + 30 = -60 + 30 = -30°F",-30
1,"QUESTION TYPE-Mixing Problem: A tank contains 1000 L of salt water with 15 kg of dissolved salt. Pure water enters the tank at a rate of 10 L/min. The solution is kept well-mixed and drains from the tank at the same rate. Calculate how much salt remains in the tank after 20 minutes.","Let  S(t)  be the amount of salt (in kilograms) in the tank at time  t  (in minutes). Since the inflow and outflow rates are equal, the volume in the tank remains constant at 1000 liters. We are given that:    Inflow of pure water: no salt is added;    Outflow: the concentration of salt at time  t  is  S(t)/1000  kg/L;   Outflow rate of salt:  10 * S(t)/1000 = 1/100 S(t)  kg/min. Thus, the rate of change of salt in the tank is:  dS/dt = -1/100 S(t)   → dS/S = -1/100 dt Integrate both sides:  ∫ 1/S dS = ∫ -1/100  dt → ln |S| = -t/100 + C → S(t) = Ce^(-t/100) Applying the initial condition S(0) = 15 , we have:  S(0) = C * e^0 = C → C = 15 Hence,   S(t) = 15 e^(-t/100) Calculating the amount of salt at t = 20 , we have   S(20) = 15 e^(-20/100) = 15 e^(-0.2) Using the approximation  e^(-0.2) ≈ 0.8187 :  S(20) ≈ 15 * 0.8187 = 12.28 kg   Therefore, after 20 minutes, we have  approximately 12,3 kg",12.3
2,"QUESTION TYPE-Electric Circuits-RL: A resistor R=10Ω and an inductor L=2H are connected in series with a DC voltage source of 20 Volts. If the circuit is switched on at t=0, find the initial current I(0)?","Using Kirchhoff's Voltage Law KVL, the sum of voltage drops across the resistor and the inductor equals the applied voltage, we have: LdI(t)/dt+RI(t)=V. Substituting the values of V=20,  R=10  and L=2 in the equation above,  we have 2dI(t)/dt+ 10I(t)=20  → dI(t)/dt+5I(t)=10. Solving  the  equation using integrating factor, we have  I(t)=2 + c/e^(5t)  and using the initial condition  I(0)=0 we have I(t)=2 -2/e^(5t) . Therefore, after  t=0, we have 0 A",0
3,"QUESTION TYPE-Exponential Decay: A certain village in Angola  had a population of 10,000 people. Due to unfavorable living conditions, the population decreases at a rate proportional to the current population. After 3 years, the population  decreased to 8,000. Determine the time it will take for the population to reduce to 5,000?","Let P(t) be the population at time t. The rate of population decrease is proportional to the population: dP/dt=-kP where k is the decay constant. Solving this ODE,  we have P(t)=Ae^(-kt). Applying initial condition, P(0)=10,000, we have A=10,000 → P(t)=10,000e^(-kt). After 3 years, the population is 8,000. Substituting  P(3)=8,000 into the equation and calculating the value of k, we have 8,000/10,000=e^(-3k)→ ln(0.8)=-3k  → k=−ln(0.8)/3 ≈ 0.0749 . Hence P(t)=10,000e^(-0,0749t) .Now setting  P(t)=5,000 and solving for t, we have  5,000 =10,000e^(-0,0749t)→ 5,000/10,000=e^(-0,0749t)   → t=−ln(0.5)/0,0749≈ 9.26  years. Therefore it will take approximately 9.26 years for the population to reduce to 5,000 people",9.26
4,"QUESTION TYPE-Electric Circuits-RC:A 5μF capacitor is charged through a 10kΩ resistor from a 12V battery.  Calculate how long will it take for the voltage across the capacitor to reach 8V?","In an RC charging circuit,  Kirchhoff's voltage law KVL gives: V0=VR(t)+VC(t) and the ODE for V0 is given by :  V0=RCdVC(t)/dt+ Vc(t) → dVC(t)/dt= (V0-Vc(t))/RC  → dVC(t)/(V0-Vc(t))= dt/RC. Integrating both sides, we have: -ln|V0-Vc(t)|=t/RC + C1 When t=0, we have C1=-lnV0 hence -ln|V0-Vc(t)|=t/RC -lnV0  → ln|V0-Vc(t)|=lnV0-t/RC. Exponentiating both sides, we have V0-Vc(t)=V0e^(-t/RC)  → Vc(t)=V0-V0e^(-t/RC). And when Vc(t)=8 using, C=5μF=5*10^(-6)F,C=10kΩ and V0=12V, we need to simplify the equation and thereafter calculate for t. Hence, 8=12 -12e^(-t/RC) → t=-RC ln(1/3). Substituting the values of R and C, we have, t=-10^4* 5*10^(-6)* ln(1/3)≈ 0.0549. Therefore, it will take approximately 0.0549 seconds.",0.0549
5,"QUESTION TYPE-Exponential Growth: Escherichia coli, a common bacteria found in the human intestine, divides into two cells every 20 minutes when placed in a nutrient-rich medium. The initial population of the culture is 60 cells.  Calculate the time required for the population to reach 20,000 cells?","We have dP/dt = kP. Integrating both sides, we have  ln P(t)=kt +C  and using natural logarithm, we have P(t)=Ae^(kt). Since P(0)=60, we have P(t)=60e^(kt). We know that the population doubles every 20 minutes. This means that after 20 minutes, P(20)=2*60=$120 → P(20)=2*60=120 cells. Substituting t=20 in the equation and calculating the value for k we have, k=ln2/20 → 0,03466 and therefore  P(t)=60e^(0,03466t). Now we have to find the value of t when P(t)=20000. We have 20000= 60e^(0,03466t) → 20000/60= e^(0,03466t) → t=ln(333.33)/0.03466 ≈167.63 minutes.",167.63
6,"QUESTION TYPE-Falling Objects with Air Resistance: A body weighing 8 lb falls from rest toward the earth from a great height As it falls, air resistance acts upon it, and the assume that this resistance (in lb) is numerically equal to 2 v, where v is the velocity (in ft/sec.). Use ODE to find the velocity  fallen at 10 seconds?","Assume acceleration due to gravity  g = 32 ft/s^2.  By Newton’s second law,  Weight - Resistance = m dv/dt  Given that:   Weight  W = 8 lb → m = W/g = 8/32 = 0.25 slug    Resistance  R = 2v   Substitute into Newton’s law: 8 - 2v = 0.25 * dv/dt → dv/dt = 1/0.25 (8 - 2v) = 4(8 - 2v) = 32 - 8v   Solving the ODE, we have dv/dt = 32 - 8v → dv/(32 - 8v) = dt  Integrate both sides: ∫ 1/(32 - 8v)  dv = ∫ dt → -1/8 ln|32 - 8v| = t + C  Multiply both sides by  -8: ln|32 - 8v| = -8t + C1 → 32 - 8v = Ce^(-8t)  Solve for  v(t) ; v(t) = 4 - C/8 e^(-8t)   Applying the  initial Condition,   v(0) = 0,   0 = 4 - C/8 → C = 32  Thus, v(t) = 4 - 4e^(-8t)   Solving for  v(10)  v(10) = 4 - 4e^(-80) ≈ 4 - 4(0) = 4 ft/s  So, the velocity of the falling body after 10 seconds is approximately 4 ft/s, which is the terminal velocity due to the air resistance.",4
7,"QUESTION TYPE-Economy-Decay: In 2024, an investment of 15,000,000 kwanzas was made with the goal of gaining profit. However, due to inflation in Angola, the amount lost value, decaying continuously at 10 percent  per year. What will be the total amount after 5 years?"," dP/dt = -k P, where k = 0.10.   Separating the  variables and integrating, we have dP/P = -k  dt, ∫ 1/P  dP = -k ∫ dt, ln|P| = -kt + C.   Solve for P(t), we have P(t) = e^C e^(-kt) = C1 e^(-kt), where C1 = e^C   Apply the initial condition,  t=0, P(0) = 15,000,000, so 15,000,000 = C1 e^0 = C1, thus P(t) = 15,000,000 * e^(-0.10 t).   Calculate the amount after 5 years, we have,  P(5) = 15,000,000 * e^(-0.10 * 5) = 15,000,000 * e^(-0.5). Using e^(-0.5) ≈ 0.6065, we have  P(5) ≈ 15,000,000 * 0.6065 = 9,097,960 kwanzas After 5 years, the investment will be worth approximately 9,097,960 kwanzas.",9097960
8,"QUESTION TYPE-Chemical Kinetics:A certain radioactive material is known to decay at a rate proportional to the amount present. If initially there are 50 milligrams of the material present and after two hours it is observed that the material has lost 10% of its original mass, find the mass of the material after four hours.","Let N denote the amount of material present at time t. Then, dN/dt - kN = 0. This differential equation is separable and linear; its solution is N = ce^(kt). At t = 0, we are given that N = 50. Therefore, 50 = ce^(k(0)) , or c = 50. Thus, N = 50e^(kt). At t = 2, 10 percent of the original mass of 50 mg, or 5 mg, has decayed. Hence, at t = 2, N = 50 - 5 = 45. Substituting these values and solving for k, we have 45 = 50e^(2k) or rather k = (1/2)ln(45/50) = -0.053. Substituting this value, we obtain the amount of mass present at any time t as N = 50e^(-0.053t) where t is measured in hours. We require N at t = 4. Substituting t = 4 and then solving for N, we find that N = 50e^(-0.053*4) = 50(0.809) = 40.5 mg",40.5
9,"QUESTION TYPE-Economy-Growth: A depositor places $10000 in a certificate of deposit at YETU Banc of Angola with an interest rate of 7 1/2 percent per annum, compounded continuously. How much will be in the account at the end of eight years, assuming no additional deposits or withdrawals are done?","Let A(t) denote the balance in the account at any time t. We have A(0) = 10000 and the interest rate is k = 0.075. The ODE is given as dA/dt = kA and solving this equation gives A(t) = Ce^(kt). Using the initial condition A(0) = 10000, we find C = 10000, so A(t) = 10000e^(kt). We want A(8): A(8) = 10000e^(0.075×8) = 10000e^(0.6). Using the approximation e^(0.6) ≈ 1.82212, we get A(8) ≈ 10000 × 1.82212 = 18221",18221
